등록번호,처리상태,관할기관,행정구역,노선,방향,지번주소,도로명주소,파손종류
20230602025256010,보수,시설관리공단,서초구,올림픽대로,행주대교 남단 (개화I.C),서울 서초구 반포동 115-2,서울특별시 서초구 신반포로11길 40,포트홀
20230602025255010,보수,시설관리공단,서초구,올림픽대로,행주대교 남단 (개화I.C),서울 서초구 잠원동 122-2,,포트홀
20230602025248010,보수,시설관리공단,강동구,올림픽대로,행주대교 남단 (개화I.C),서울 강동구 고덕동 78-6,서울특별시 강동구 가래여울길 129,포트홀
20230602025247010,보수,강서,구로구,,,서울 구로구 구로동 621-12,서울특별시 구로구 경인로53길 15,포트홀
20230602025221010,보수,시설관리공단,마포구,내부순환도시고속도로,마포구 성산동,서울 마포구 토정동 136,서울특별시 마포구 대흥로4길 66,포트홀
20230602025217010,보수,강서,영등포구,신월~노량진선,남부순환로 (신월동438-8),서울 영등포구 양평동 488,,포트홀
20230602025194010,보수,동부,강남구,신사~청담선,신사동4거리 (신사동 501-3),서울 강남구 신사동 501-5,서울특별시 강남구 도산대로 159,포트홀
20230602025193010,보수,강서,양천구,,,서울 양천구 신정동 313-6,서울특별시 양천구 목동서로 280,포트홀
20230602025184010,보수,남부,금천구,시흥~중림선,서울시상수도 사업본부앞 (중림동406),서울 금천구 독산동 1080-1,서울특별시 금천구 시흥대로 392,포트홀
20230602025157010,보수,서부,용산구,우면~중학선,동십자각로타리 (중학동 37),서울 용산구 이태원동 34-126,서울특별시 용산구 녹사평대로 168-6,포트홀
20230602025156010,보수,서부,용산구,우면~중학선,우면동시계 (우면동418),서울 용산구 용산동4가 10-2,서울특별시 용산구 녹사평대로 168-6,포트홀
20230602025141010,보수,시설관리공단,양천구,신월~신당선,한양공고앞 (신당동251),서울 양천구 목동 919-1,서울특별시 양천구 안양천로 939,포트홀
20230602025123010,보수,서부,마포구,성산~진관외선,고양시시계 (진관내동105)),서울 마포구 성산동 393-5,,포트홀
20230602025100010,보수,시설관리공단,서초구,,,서울 서초구 내곡동 산 13-300,,포트홀
20230601900338010,보수,동부,강동구,문정~고덕선,장지동로타리 (문정동 257-4),서울 강동구 둔촌동 산 11-4,,포트홀
20230601900265010,보수,서부,중구,도심순환도로,서울적십자병원,서울 중구 충무로2가 111,서울특별시 중구 삼일대로 299,포트홀
20230601900192010,보수,서부,은평구,성산~진관외선,성산교 (성산동557),서울 은평구 진관동 140-3,,포트홀
20230601900099010,보수,서부,마포구,공덕~봉래선,서울역 (봉래동2가43),서울 마포구 신공덕동 14-4,서울특별시 마포구 백범로 205,포트홀
20230601900026010,보수,강서,영등포구,신월~노량진선,남부순환로 (신월동438-8),서울 영등포구 양평동1가 29-1,서울특별시 영등포구 영등포로 85-1,포트홀
20230601175535001,보수,시설관리공단,강서구,올림픽대로,강동구 시계 (하일I.C),강서구 개화동 110-1,,포트홀
20230601175055001,보수,시설관리공단,영등포구,올림픽대로,행주대교 남단 (개화I.C),,,포트홀
20230601173103001,보수,시설관리공단,마포구,내부순환도시고속도로,마포구 성산동,,마포구 방울내로11길 87,포트홀
20230601170456001,보수,남부,서초구,방배~잠실선,아시아선수촌아파트 (잠실7동86),,서초구 효령로 380,포트홀
20230601170420001,보수,남부,금천구,시흥선,시흥동 (시흥동 266),,금천구 금하로 816,포트홀
